NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,35.022222222222226,21.882757178390367,51,0,5691.861111111111,2.8397259040049168,5695,5688
s0,342.53333333333336,214.6250063094544,500,1,164.21666666666667,0.5894913061275798,165,163
s1,184.4111111111111,115.41999580704709,272,1,193.0,0.0,193,193
s2,222.07777777777778,139.18802053958666,327,1,187.0,0.0,187,187
s3,64.06666666666666,39.4344181310354,94,1,64.91111111111111,0.28458329944145994,65,64
s4,207.63333333333333,129.51477393203706,307,1,220.0,0.0,220,220
s5,77.18333333333334,47.541733128787904,113,1,170.0,0.0,170,170
s6,33.983333333333334,21.084347801680327,50,1,154.0,0.0,154,154
s7,49.022222222222226,29.939746075438386,72,1,151.0,0.0,151,151
s8,36.266666666666666,22.07728848084988,53,1,64.0,0.0,64,64
s9,41.75555555555555,25.387140712972123,61,1,162.0,0.0,162,162
