NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,67.9,39.152281046078414,100,0,5692.344444444445,3.3271980574622013,5697,5689
s0,176.8111111111111,103.30229581663544,263,1,163.30555555555554,0.4606423319938055,164,163
s1,216.52777777777777,124.60325617983378,320,1,193.9111111111111,0.28458329944145994,194,193
s2,248.9388888888889,144.62526918783706,366,1,187.0,0.0,187,187
s3,106.17777777777778,61.36821069536423,156,1,64.91111111111111,0.28458329944146,65,64
s4,343.81111111111113,196.64550137207956,500,1,220.0,0.0,220,220
s5,167.70555555555555,96.01178731004404,244,1,170.0,0.0,170,170
s6,94.05555555555556,54.013344258846736,138,1,154.0,0.0,154,154
s7,149.5222222222222,86.70066355990821,220,1,151.0,0.0,151,151
s8,87.9888888888889,50.32582602831371,128,1,64.0,0.0,64,64
s9,141.3388888888889,82.48697970581573,209,1,162.30555555555554,0.46064233199380555,163,162
