NUSER,LOAD_0,LOAD_1,LOAD_2,SR,REQ/s_login,RES_TIME_login,CPU_login,MEM_login,REQ/s_get_catalogue1,RES_TIME_get_catalogue1,CPU_get_catalogue1,MEM_get_catalogue1,REQ/s_get_catalogue2,RES_TIME_get_catalogue2,CPU_get_catalogue2,MEM_get_catalogue2,REQ/s_get_catalogue3,RES_TIME_get_catalogue3,CPU_get_catalogue3,MEM_get_catalogue3,REQ/s_get_item,RES_TIME_get_item,CPU_get_item,MEM_get_item,REQ/s_get_related,RES_TIME_get_related,CPU_get_related,MEM_get_related,REQ/s_get_tags,RES_TIME_get_tags,CPU_get_tags,MEM_get_tags,REQ/s_get_cart,RES_TIME_get_cart,CPU_get_cart,MEM_get_cart,REQ/s_add_item_to_cart,RES_TIME_add_item_to_cart,CPU_add_item_to_cart,MEM_add_item_to_cart,REQ/s_get_orders,RES_TIME_get_orders,CPU_get_orders,MEM_get_orders,REQ/s_get_customer,RES_TIME_get_customer,CPU_get_customer,MEM_get_customer,REQ/s_get_card,RES_TIME_get_card,CPU_get_card,MEM_get_card,REQ/s_get_address,RES_TIME_get_address,CPU_get_address,MEM_get_address,CPU_carts-db,MEM_carts-db,CPU_catalogue-db,MEM_catalogue-db,CPU_front-end,MEM_front-end,CPU_orders-db,MEM_orders-db,CPU_payment,MEM_payment,CPU_queue-master,MEM_queue-master,CPU_rabbitmq,MEM_rabbitmq,CPU_session-db,MEM_session-db,CPU_shipping,MEM_shipping,CPU_user-db,MEM_user-db
1,1,0,0,1,0.0,0.0,1.0,4.572222222222222,1.3465431967561428,3.4905620333347542,2.2555555555555555,4.583333333333333,0.6732715983780714,46.77261788338001,2.2555555555555555,4.583333333333333,0.6732715983780714,3.7158365834026577,2.2555555555555555,4.583333333333333,0.6732715983780714,46.81313479154596,2.2555555555555555,4.583333333333333,0.6732715983780714,46.277000058322905,2.2555555555555555,4.583333333333333,0.6732715983780714,44.71918355828469,2.2555555555555555,4.583333333333333,2.693086393512285,48.90656058126979,16.105555555555554,367.7944444444444,0.0,0.0,16.105555555555554,367.7944444444444,0.0,0.0,2.0,356.0,1.3465431967561428,45.29199873759353,1.0,4.572222222222222,0.0,0.0,1.0,4.572222222222222,0.0,0.0,1.0,4.572222222222222,4.0,33.81666666666667,2.6333333333333333,409.3277777777778,12.622222222222222,74.02222222222223,4.0,34.0,1.0,3.011111111111111,2.0,326.0,20.383333333333333,119.0111111111111,2.6222222222222222,2.938888888888889,2.0,349.0,7.0,32.0
1,1,0,0,1,0.0,0.0,1.0,6.0,1.3619069101595207,3.293361926233822,2.2333333333333334,6.0,0.6753718693823854,46.94920835532113,2.2333333333333334,6.0,0.6753718693823854,3.5785617024389054,2.2333333333333334,6.0,0.6753718693823854,46.48721555366303,2.2333333333333334,6.0,0.6753718693823854,45.10223544630283,2.2333333333333334,6.0,0.6753718693823854,44.53515846287415,2.2333333333333334,6.0,2.712650648924291,46.39567629422985,5.705555555555556,367.3833333333333,0.0,0.0,5.705555555555556,367.3833333333333,0.0,0.0,2.0,356.0,1.3507437387647707,44.89999336359583,1.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,6.0,4.0,34.0,2.6166666666666667,410.0,10.566666666666666,76.38888888888889,4.0,34.0,1.0,4.0,2.0,326.0,20.927777777777777,121.0,2.5444444444444443,3.0,2.0,349.0,7.0,32.0
1,1,0,0,1,0.0,0.0,1.3111111111111111,6.0,1.3617812507127192,3.3213353278638427,2.1666666666666665,6.0,0.6753095546567173,46.89984566109408,2.1666666666666665,6.0,0.6753095546567173,3.558425537215773,2.1666666666666665,6.0,0.6753095546567173,46.65330343804956,2.1666666666666665,6.0,0.6753095546567173,45.38754176852413,2.1666666666666665,6.0,0.6753095546567173,44.62857428928349,2.1666666666666665,6.0,2.7068192893265115,46.433957684603605,8.222222222222221,368.5444444444444,0.0,0.0,8.222222222222221,368.5444444444444,0.0,0.0,2.0,356.0,1.3506191093134343,45.0097535743804,1.3111111111111111,6.0,0.0,0.0,1.3111111111111111,6.0,0.0,0.0,1.3111111111111111,6.0,4.0,34.0,2.5444444444444443,410.0,10.877777777777778,83.37777777777778,4.0,34.0,1.0,4.0,2.0,326.0,20.766666666666666,121.0,2.4,3.0,2.0,349.0,7.0,32.0
1,1,0,0,1,0.0,0.0,1.0,5.394444444444445,1.3551434737412065,3.393217210663547,2.411111111111111,6.0,0.6775717368706032,46.733778347012304,2.411111111111111,6.0,0.6775717368706032,3.629878190096395,2.411111111111111,6.0,0.6775717368706032,46.749168859515365,2.411111111111111,6.0,0.6775717368706032,45.48797907444183,2.411111111111111,6.0,0.6775717368706032,44.56794254557198,2.411111111111111,6.0,2.710286947482413,47.07020153923133,7.955555555555556,369.3222222222222,0.0,0.0,7.955555555555556,369.3222222222222,0.0,0.0,2.0,356.0,1.3551434737412065,45.24855680155127,1.0,5.394444444444445,0.0,0.0,1.0,5.394444444444445,0.0,0.0,1.0,5.394444444444445,4.0,34.0,2.705555555555556,410.0,10.877777777777778,87.75555555555556,4.0,34.0,1.0,4.088888888888889,2.0,326.0,20.91111111111111,120.39444444444445,2.105555555555556,3.0,2.0,349.0,7.0,32.0
1,1,0,0,1,0.0,0.0,1.0,6.0,1.3576311328009618,3.2753400083335187,2.25,6.0,0.6788155664004809,46.68394808261138,2.25,6.0,0.6788155664004809,3.6097916116518753,2.25,6.0,0.6788155664004809,46.64828423137655,2.25,6.0,0.6788155664004809,45.31117084300882,2.25,6.0,0.6788155664004809,44.84826157026836,2.25,6.0,2.715262265601924,46.55164721490027,6.522222222222222,368.6166666666667,0.0,0.0,6.522222222222222,368.6166666666667,0.0,0.0,2.0,356.0,1.3576311328009618,44.861504061966926,1.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,6.0,4.0,34.0,2.7777777777777777,410.0,10.666666666666666,88.53333333333333,4.0,34.0,1.0,5.0,2.0,326.0,20.30555555555556,121.0,2.25,3.0,2.0,349.0,7.0,32.0
1,1,0,0,5,0.0,0.0,1.7444444444444445,6.0,1.3392479465378655,4.5495249291718665,2.9277777777777776,6.0,0.6696239732689327,46.581535199974645,2.9277777777777776,6.0,0.6696239732689327,4.574854524988344,2.9277777777777776,6.0,0.6640437734916916,46.29948975628035,2.9277777777777776,6.0,0.6640437734916916,48.2337321932888,2.9277777777777776,6.0,0.6696239732689327,46.66296616668433,2.9277777777777776,6.0,2.67291569329849,48.02923289562842,6.2,354.5611111111112,0.0,0.0,6.2,354.5611111111112,0.0,0.0,2.0,354.0,1.3280875469833833,48.37639060084265,1.7444444444444445,6.0,0.0,0.0,1.7444444444444445,6.0,0.0,0.0,1.7444444444444445,6.0,4.7444444444444445,34.0,3.183333333333333,410.0,13.483333333333333,86.89444444444445,4.0,31.0,1.0,4.0,2.0,298.0,39.43888888888889,124.43888888888888,2.7444444444444445,3.0,2.0,332.0,8.0,32.0
1,1,0,0,5,0.0,0.0,1.65,6.0,1.3391766262161515,4.522795374993886,2.9055555555555554,6.0,0.6695883131080759,46.62068778333151,2.9055555555555554,6.0,0.6695883131080759,4.540802316680963,2.9055555555555554,6.0,0.6695883131080759,46.35291783332794,2.9055555555555554,6.0,0.664008410498842,48.3707807731104,2.9055555555555554,6.0,0.6695883131080759,46.48501677500197,2.9055555555555554,6.0,2.6783532524323035,47.86574206667069,8.783333333333333,354.30555555555554,0.0,0.0,8.783333333333333,354.30555555555554,0.0,0.0,2.3,354.0,1.3391766262161515,48.16128985000129,1.65,6.0,0.0,0.0,1.65,6.0,0.0,0.0,1.65,6.0,4.65,34.0,2.95,410.0,13.827777777777778,83.95,4.0,31.0,1.0,4.0,2.0,298.0,40.0,123.30555555555556,2.65,3.0,2.0,332.0,8.0,32.0
1,1,0,0,5,0.0,0.0,1.7777777777777777,6.0,1.333893597202484,4.502055147049148,2.727777777777778,6.0,0.6669467986012421,46.59780474788809,2.727777777777778,6.0,0.6669467986012421,4.530783016795848,2.727777777777778,6.0,0.6669467986012421,46.51426105881513,2.727777777777778,6.0,0.6669467986012421,48.330823310928224,2.727777777777778,6.0,0.6669467986012421,46.45042489916223,2.727777777777778,6.0,2.6677871944049683,49.40974263654992,11.177777777777775,349.2055555555556,0.0,0.0,11.177777777777775,349.2055555555556,0.0,0.0,2.0,354.0,1.333893597202484,48.17738836555584,1.7777777777777777,6.0,0.0,0.0,1.7777777777777777,6.0,0.0,0.0,1.7777777777777777,6.0,4.777777777777778,34.0,2.95,410.0,14.577777777777778,74.7611111111111,4.0,31.0,1.0,4.477777777777778,2.0,298.0,38.25,120.0,2.7777777777777777,3.0,2.0,332.0,8.0,32.0
1,1,0,0,5,0.0,0.0,1.5611111111111111,6.0,1.3393319781447657,4.535282958336022,2.7333333333333334,6.0,0.6696659890723828,46.535836608359205,2.7333333333333334,6.0,0.6696659890723828,4.551306283341698,2.7333333333333334,6.0,0.6640854391634463,46.383088428567,2.7333333333333334,6.0,0.6640854391634463,48.28727729410894,2.7333333333333334,6.0,0.6696659890723828,46.39529919166421,2.7333333333333334,6.0,2.6730834063805946,48.484871219208046,8.622222222222222,351.8222222222222,0.0,0.0,8.622222222222222,351.8222222222222,0.0,0.0,2.0,354.0,1.3281708783268926,48.099353298313005,1.5611111111111111,6.0,0.0,0.0,1.5611111111111111,6.0,0.0,0.0,1.5611111111111111,6.0,4.872222222222222,34.0,2.8222222222222224,410.0,13.88888888888889,82.73333333333333,4.0,31.0,1.0,5.0,2.0,298.0,38.68888888888889,121.0,2.561111111111111,3.0,2.0,332.0,8.0,32.0
1,1,0,0,10,0.0,0.0,1.0,4.183333333333334,1.3467283869763802,3.557360775084817,2.183333333333333,4.183333333333334,0.6733641934881901,46.7382121079936,2.183333333333333,4.183333333333334,0.6733641934881901,3.6357939166312767,2.183333333333333,4.183333333333334,0.6733641934881901,46.48806560016965,2.183333333333333,4.183333333333334,0.6733641934881901,45.34353423308252,2.183333333333333,4.183333333333334,0.6733641934881901,44.5614146917554,2.183333333333333,4.183333333333334,2.6934567739527604,49.50152528566226,16.38888888888889,331.05555555555554,0.0,0.0,16.38888888888889,331.05555555555554,0.0,0.0,2.0,359.0,1.3467283869763802,45.18857919159321,1.0,4.183333333333334,0.0,0.0,1.0,4.183333333333334,0.0,0.0,1.0,4.183333333333334,4.0,33.233333333333334,2.7444444444444445,407.18888888888887,12.477777777777778,77.99444444444444,4.0,31.0,1.0,3.0,2.0,326.0,21.05555555555556,112.0,1.7444444444444445,2.0,2.0,342.0,7.0,31.744444444444444
