NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,67.58888888888889,40.5001768019308,99,0,5690.972222222223,1.6412412496358275,5695,5690
s0,177.61666666666667,105.89718677409078,260,1,163.61111111111111,0.48749802152178445,164,163
s1,217.60555555555555,129.52402167689985,317,1,193.74444444444444,0.4361730316975672,194,193
s2,251.02777777777777,149.7066550348661,367,1,188.0,0.0,188,188
s3,106.61111111111111,63.20129999444359,156,1,64.74444444444444,0.4361730316975672,65,64
s4,345.5888888888889,205.32174720799355,500,1,220.30555555555554,0.46064233199380555,221,220
s5,169.37222222222223,100.43500001690178,246,1,170.0,0.0,170,170
s6,95.52222222222223,56.569176486802974,140,1,154.0,0.0,154,154
s7,148.6611111111111,88.41927667457092,217,1,152.0,0.0,152,152
s8,87.6,51.77811635559307,128,1,64.0,0.0,64,64
s9,140.77777777777777,83.81398421872858,206,1,162.0,0.0,162,162
