NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,68.00555555555556,45.190891071127034,103,0,5731.855555555556,1.754746649083319,5734,5730
s0,160.01111111111112,106.54899701748532,243,1,160.3,0.4582575694955841,161,160
s1,214.5388888888889,142.4895849561913,322,1,188.30555555555554,0.46064233199380555,189,188
s2,255.4,170.15279408030102,387,1,183.98888888888888,0.10482201257840668,184,183
s3,104.22222222222223,68.80887826723425,155,1,64.60555555555555,0.488731035121935,65,64
s4,340.01666666666665,226.62741020352223,501,1,217.0,0.0,217,217
s5,175.54444444444445,116.8156345235337,262,1,167.0,0.0,167,167
s6,107.13888888888889,71.08639218810438,165,1,153.0,0.0,153,153
s7,137.29444444444445,91.51172949847724,212,1,151.0,0.0,151,151
s8,78.05555555555556,51.172227952085954,115,1,64.0,0.0,64,64
s9,137.36111111111111,91.37771208249909,210,1,161.0,0.0,161,161
