NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,35.21666666666667,20.38225671727468,51,0,5705.905555555555,2.070150886133188,5708,5703
s0,345.39444444444445,199.3938173905606,500,1,164.06666666666666,0.7348469228349536,165,163
s1,187.01111111111112,108.01985357068439,273,1,193.0,0.0,193,193
s2,224.05,129.27628789190658,326,1,188.0,0.0,188,188
s3,63.96111111111111,36.39175179577691,92,1,64.7611111111111,0.4264047228330392,65,64
s4,209.2722222222222,121.02253373995896,305,1,220.0,0.0,220,220
s5,77.55,44.64468053419131,115,1,170.0,0.0,170,170
s6,34.98888888888889,19.456215484714757,50,1,154.0,0.0,154,154
s7,50.4,28.720027855139694,73,1,151.0,0.0,151,151
s8,36.06111111111111,20.264682986496723,52,1,64.0,0.0,64,64
s9,41.40555555555556,23.52273066683992,60,1,162.0,0.0,162,162
