NUSER,LOAD_0,LOAD_1,LOAD_2,SR,RES_TIME_viewProduct,RES_TIME_addToCart,RES_TIME_home,RES_TIME_setCurrency,RES_TIME_viewCart,RES_TIME_checkout,RES_TIME_logout,RES_TIME_cartEmpty,CPU_viewProduct,CPU_addToCart,CPU_home,CPU_setCurrency,CPU_viewCart,CPU_checkout,CPU_logout,CPU_cartEmpty,MEM_viewProduct,MEM_addToCart,MEM_home,MEM_setCurrency,MEM_viewCart,MEM_checkout,MEM_logout,MEM_cartEmpty
1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.355555555555556,13.95,27.05,20.01111111111112,13.95,1.0,27.05,13.95,24.61111111111111,80.0,14.0,33.90555555555556,80.0,20.0,14.0,80.0
1,1,0,0,1,13.74461151865521,8.562181206652895,14.556271972023143,8.570211213203342,7.108628139831126,0.0,31.27410951339698,0.0,8.438888888888888,14.194444444444445,27.072222222222223,20.51111111111112,14.194444444444445,1.0,27.072222222222223,14.194444444444445,24.316666666666663,80.0,14.0,33.19444444444444,80.0,20.0,14.0,80.0
1,1,0,0,1,14.232033396760048,8.613222465661636,21.771288309597143,8.289150520645869,6.660320835666649,0.0,28.524660404039185,0.0,8.28888888888889,12.294444444444444,25.80555555555556,18.97777777777777,12.294444444444444,1.0,25.80555555555556,12.294444444444444,24.0,80.0,13.316666666666666,33.31666666666667,80.0,20.0,13.316666666666666,80.0
1,1,0,0,1,13.138888447039385,8.839299496552762,14.292350856968724,8.346447834334704,6.17402264894031,0.0,31.31932314598643,0.0,8.522222222222222,13.661111111111111,26.75555555555556,20.06111111111111,13.661111111111111,1.0,26.75555555555556,13.661111111111111,24.51111111111112,80.0,13.488888888888887,33.87777777777778,80.0,20.0,13.488888888888887,80.0
1,1,0,0,5,13.30124623829582,8.505222887532796,14.733948230495544,8.191179913892302,7.444788079328345,0.0,27.342799416809136,0.0,8.4,13.983333333333333,27.15,20.25,13.983333333333333,1.0,27.15,13.983333333333333,24.683333333333334,78.0,18.55,34.63333333333333,78.0,23.0,18.55,78.0
1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.63888888888889,13.55,27.38888888888889,20.383333333333333,13.55,1.0,27.38888888888889,13.55,24.622222222222224,78.0,18.0,34.144444444444446,78.0,22.93888888888889,18.0,78.0
1,1,0,0,5,12.89544359246976,8.498293333492862,14.978693263954485,8.739312373557672,7.134706760019374,0.0,29.88703676009512,0.0,8.394444444444444,13.22222222222222,26.711111111111112,20.27777777777778,13.22222222222222,1.0,26.711111111111112,13.22222222222222,24.366666666666667,78.0,17.961111111111112,34.93888888888889,78.0,23.0,17.961111111111112,78.0
1,1,0,0,5,11.951359442648323,8.964801410429754,14.824755841095945,8.466545165329864,6.110298946750002,0.0,31.62463041728236,0.0,8.255555555555556,12.75,27.072222222222223,20.36111111111111,12.75,1.0,27.072222222222223,12.75,24.683333333333334,78.0,18.0,34.544444444444444,78.0,22.45555555555556,18.0,78.0
1,1,0,0,5,13.123145112134576,8.036320027167676,14.001670737401271,8.112879086581493,8.406555653443016,0.0,32.30154572015939,0.0,8.488888888888889,14.283333333333331,26.75555555555556,20.177777777777777,14.283333333333331,1.0,26.75555555555556,14.283333333333331,24.683333333333334,78.0,18.0,33.91111111111111,78.0,23.0,18.0,78.0
1,1,0,0,10,12.620316421882498,8.775592079545705,15.12207561581155,8.19081352977005,5.748174688846277,0.0,30.763821440341417,0.0,8.305555555555555,13.244444444444444,26.75555555555556,19.766666666666666,13.244444444444444,1.0,26.75555555555556,13.244444444444444,24.0,77.0,18.266666666666666,34.36666666666667,77.0,23.316666666666663,18.266666666666666,77.0
1,1,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.588888888888889,13.522222222222222,27.01111111111112,20.2,13.522222222222222,1.0,27.01111111111112,13.522222222222222,24.0,77.0,18.322222222222223,33.99444444444445,77.0,23.0,18.322222222222223,77.0
1,1,0,0,10,12.51375095024489,8.035328492244137,47.144982663222535,56.43260565840238,5.796560809459253,0.0,60.24009937571827,0.0,6.788888888888889,10.65,20.738888888888887,15.677777777777775,10.65,1.0,20.738888888888887,10.65,24.0,77.0,17.77777777777778,34.138888888888886,77.0,23.0,17.77777777777778,77.0
1,1,0,0,10,11.968857233816642,8.103024218939183,15.600863596070203,8.243627523207753,6.729872086263086,0.0,30.490832317725367,0.0,8.53888888888889,13.0,27.383333333333333,20.16111111111111,13.0,1.0,27.383333333333333,13.0,24.00555555555556,77.0,18.31111111111111,33.855555555555554,77.0,23.0,18.31111111111111,77.0
1,0,1,0,1,11.793875224816016,18.801265642218823,16.255985715401625,8.234416414154566,11.848072484212937,18.823363125051173,11.07621565648742,9.801686533904784,15.838888888888889,23.355555555555554,46.78888888888889,31.95,23.355555555555554,1.6611111111111112,46.78888888888889,23.355555555555554,24.677777777777777,79.33888888888889,14.0,33.68888888888889,79.33888888888889,20.66111111111111,14.0,79.33888888888889
1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.022222222222222,21.933333333333334,46.922222222222224,31.9,21.933333333333334,1.538888888888889,46.922222222222224,21.933333333333334,25.0,78.0,15.0,33.63333333333333,78.0,21.14444444444445,15.0,78.0
1,0,1,0,1,12.145682324328549,16.947365346931065,16.39363234596658,8.017558015836812,13.45825283598856,22.072237593818045,8.71192517965369,10.152587205813765,15.872222222222222,21.53333333333333,46.73888888888889,31.866666666666667,21.53333333333333,1.805555555555556,46.73888888888889,21.53333333333333,24.82777777777778,78.5111111111111,14.488888888888887,33.53888888888889,78.5111111111111,21.194444444444443,14.488888888888887,78.5111111111111
1,0,1,0,1,12.329261762123004,17.065711917200588,16.449957887199876,8.0374678986459,11.235863367119237,20.375851742102213,10.279469343799974,10.045978117195396,15.88888888888889,23.927777777777777,47.00555555555555,31.8,23.927777777777777,1.7055555555555555,47.00555555555555,23.927777777777777,24.366666666666667,79.0,14.0,33.611111111111114,79.0,20.927777777777777,14.0,79.0
1,0,1,0,1,11.547232162945107,19.443446465388025,21.60749293218722,8.630763071996626,12.285695169368644,17.770007419189383,8.205544120638448,10.177503967605189,15.794444444444444,24.32777777777778,45.94444444444444,31.02777777777778,24.32777777777778,1.7555555555555555,45.94444444444444,24.32777777777778,24.56111111111111,79.0,14.122222222222222,33.70555555555556,79.0,21.0,14.122222222222222,79.0
1,0,1,0,5,12.158563137301734,18.808571470299285,15.798661087355216,8.67332177267599,12.069728999563267,19.78525861761682,10.69317822827908,9.491531744170157,16.11111111111111,25.76111111111112,47.18888888888889,32.28333333333333,25.76111111111112,1.7444444444444445,47.18888888888889,25.76111111111112,24.683333333333334,78.0,18.0,34.57222222222222,78.0,22.0,18.0,78.0
