NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,62.98888888888889,40.41644177104288,102,0,2098.5777777777776,7.453526797992684,2110,2089
s0,158.6888888888889,105.12295916311466,261,1,149.3,0.4582575694955841,150,149
s1,190.41666666666666,126.8668976613767,314,1,167.0,0.0,167,167
s2,219.60555555555555,146.60223953201557,362,1,170.0,0.0,170,170
s3,95.58888888888889,62.87472455330776,157,1,64.0,0.0,64,64
s4,303.72222222222223,202.47183770027965,500,1,182.7888888888889,0.40809705938237684,183,182
s5,149.30555555555554,98.72926489604579,245,1,155.0,0.0,155,155
s6,83.84444444444445,55.0885975520063,137,1,141.0,0.0,141,141
s7,132.0888888888889,88.80442236791343,220,1,144.0,0.0,144,144
s8,79.66666666666667,51.94794402946943,130,1,64.0,0.0,64,64
s9,125.55,84.26652656897636,209,1,151.0,0.0,151,151
