NUSER,LOAD,SR,REQ/s_home,RES_TIME_home,CPU_home,MEM_home,REQ/s_viewCart,RES_TIME_viewCart,CPU_viewCart,MEM_viewCart,REQ/s_addToCart,RES_TIME_addToCart,CPU_addToCart,MEM_addToCart,REQ/s_checkout,RES_TIME_checkout,CPU_checkout,MEM_checkout,REQ/s_cartEmpty,RES_TIME_cartEmpty,CPU_cartEmpty,MEM_cartEmpty,REQ/s_logout,RES_TIME_logout,CPU_logout,MEM_logout,REQ/s_viewProduct,RES_TIME_viewProduct,CPU_viewProduct,MEM_viewProduct,REQ/s_setCurrency,RES_TIME_setCurrency,CPU_setCurrency,MEM_setCurrency,CPU_adservice,MEM_adservice,CPU_emailservice,MEM_emailservice,CPU_paymentservice,MEM_paymentservice,CPU_recommendationservice,MEM_recommendationservice,CPU_redis-cart,MEM_redis-cart,CPU_shippingservice,MEM_shippingservice
4,normal,1,14.713403599284968,27.50439293634429,105.42777777777778,18.144444444444446,2.7329673099505816,26.53154284299508,35.477777777777774,73.0,4.830101409014701,31.65940636468556,35.477777777777774,73.0,0.5242835247660299,41.30834722309373,1.538888888888889,23.0,1.5728505742980898,42.26353331217179,35.477777777777774,73.0,2.72738982564456,35.53528891438175,105.42777777777778,18.144444444444446,16.280676689277037,21.461030532933457,33.2,23.683333333333334,2.7329673099505816,28.90671581188478,73.54444444444445,32.855555555555554,9.05,140.0,2.0,62.0,1.0,30.0,21.427777777777777,56.0,6.783333333333333,62.0,2.933333333333333,20.461111111111112
4,normal,1,14.60066350247785,28.231149221978477,104.63333333333334,18.27777777777778,2.7114720910218706,22.56289605758993,33.97222222222222,73.0,4.786919864396635,32.87240214784123,33.97222222222222,73.0,0.5188619433436913,33.25840754820014,1.5888888888888888,23.316666666666666,1.5565858300310738,47.37157464205992,33.97222222222222,73.0,2.7058929303407555,35.27337115296383,104.63333333333334,18.27777777777778,16.15167017182781,22.532121710178068,33.06666666666667,24.0,2.7170512517029857,29.453094037412477,72.87222222222222,34.81111111111111,9.016666666666667,140.0,2.0,62.0,1.0,30.0,21.294444444444444,56.0,6.566666666666666,62.0,2.7666666666666666,21.0
4,normal,1,14.3706847523596,32.04072933809437,101.65,18.0,2.649873935314756,26.28295098952214,32.17777777777778,73.0,4.81440253931923,31.97899763969808,32.17777777777778,73.0,0.5411321510011184,28.9357744025897,1.6444444444444444,23.0,1.612239089065188,38.687212110612265,32.17777777777778,73.0,2.649873935314756,35.857157817073656,101.65,18.0,15.977345159455703,23.810190670102003,32.19444444444444,23.683333333333334,2.661031299252923,29.062894951966808,70.46666666666667,33.96111111111111,8.71111111111111,139.35555555555555,2.0,62.0,1.0,30.0,21.288888888888888,56.0,6.772222222222222,62.0,2.922222222222222,20.988888888888887
4,normal,5,14.639020889431414,28.756761318006152,105.38333333333334,18.372222222222224,2.710310153243302,25.21376836480364,43.18333333333333,72.45,4.823905931184066,32.84514163287001,43.18333333333333,72.45,0.5242163670882106,39.07860778680844,1.55,22.68888888888889,1.5782258711272723,41.47690888989944,43.18333333333333,72.45,2.710310153243302,36.017838002943314,105.38333333333334,18.372222222222224,16.217246760558687,23.76274569232894,33.62222222222222,23.68888888888889,2.721463692968583,27.64167542480835,73.77777777777777,33.544444444444444,9.155555555555555,139.0,2.0,62.0,1.0,30.0,21.683333333333334,56.0,6.45,64.0,2.9611111111111112,20.68888888888889
4,normal,5,14.528251694797298,30.634176262577054,103.11666666666666,18.0,2.6937219073271,28.915351621339514,32.8,72.71666666666667,4.8130062236506985,34.91640873477947,32.8,72.71666666666667,0.5298210790808996,42.40373563033676,1.6,22.716666666666665,1.589463237242699,40.15749955770413,32.8,72.71666666666667,2.6937219073271,38.09588596535226,103.11666666666666,18.0,16.11771493204,22.14489495998029,32.93333333333333,23.716666666666665,2.6937219073271,30.867428863377697,71.78333333333333,34.833333333333336,8.833333333333334,139.0,2.0,62.0,1.0,30.083333333333332,21.3,56.0,6.333333333333333,64.0,2.8,21.0
4,normal,5,14.59816408397627,28.506218170974567,104.85555555555555,18.0,2.693244175920756,27.612366933639763,49.24444444444445,72.66111111111111,4.8790655360883255,35.55728515536924,49.24444444444445,72.66111111111111,0.5464553400418924,32.10621342693731,1.65,22.977777777777778,1.628213870328904,32.28242711637692,49.24444444444445,72.66111111111111,2.693244175920756,39.763566811677975,104.85555555555555,18.0,16.226377954305175,23.44911126738944,33.355555555555554,24.0,2.709972400615916,30.74931570142172,73.15,34.27777777777778,9.072222222222223,138.0,2.0,62.0,1.0,30.0,21.733333333333334,56.0,6.461111111111111,64.0,2.9277777777777776,20.372222222222224
4,normal,10,14.4122423489973,30.94231331938641,104.0,18.933333333333334,2.6716192280068523,26.84081206237946,49.2,72.86666666666666,4.785489139102045,35.97882553973856,49.2,72.86666666666666,0.5298618510660772,34.41803187291187,1.7666666666666666,23.55,1.5840080600291149,42.213139228844966,49.2,72.86666666666666,2.660464241668619,38.33216993676096,104.0,18.933333333333334,16.00182790219553,24.053424460417453,33.05,23.683333333333334,2.6716192280068523,29.066571162025383,73.03333333333333,33.0,8.616666666666667,137.0,2.0,62.0,1.0,30.0,21.383333333333333,56.0,5.716666666666667,80.0,2.9833333333333334,20.683333333333334
4,normal,10,14.677689805601126,29.66219308052483,104.65,18.0,2.721395374290786,25.364000069635413,32.55555555555556,72.0,4.818208203662375,32.18818085271643,32.55555555555556,72.0,0.5242032073428974,34.635841680821926,1.5,22.866666666666667,1.561456362297992,40.60355661411969,32.55555555555556,72.0,2.721395374290786,35.27640689709023,104.65,18.0,16.244722797764467,22.52902022737444,33.416666666666664,24.0,2.7325486340214864,28.44740555708401,73.04444444444445,34.63333333333333,8.9,137.0,2.0,62.0,1.0,30.5,21.566666666666666,56.0,6.083333333333333,80.0,2.816666666666667,20.683333333333334
4,normal,10,14.57419733177094,29.60906716137709,106.26666666666667,18.0,2.6939675894547888,25.294429429468853,42.30555555555556,72.0,4.852488204608005,33.6185569814393,42.30555555555556,72.0,0.5410245469505477,32.13894065048248,1.5555555555555556,23.0,1.6119184955536936,40.680504619417015,42.30555555555556,72.0,2.6939675894547888,36.35157004374033,106.26666666666667,18.0,16.19169339997361,23.64488367049509,33.68333333333333,24.0,2.7051227347527385,30.615324491320525,74.13888888888889,34.12777777777778,9.011111111111111,137.0,2.0,62.0,1.0,30.0,21.91111111111111,56.0,7.088888888888889,80.0,2.9833333333333334,20.127777777777776
4,stress_cart,1,11.985327428248494,38.3545638273496,123.95,15.777777777777779,2.47068406268687,33.98656306547907,65.68333333333334,78.0,9.168859140084004,45.58998085944607,65.68333333333334,78.0,1.940853394616322,45.45735638788463,4.4222222222222225,21.366666666666667,4.751744517853754,50.89097837554392,65.68333333333334,78.0,1.935276229689264,51.85406967435058,123.95,15.777777777777779,17.80788761209746,30.45567962074808,43.81111111111111,24.461111111111112,1.940853394616322,51.78422257752353,80.50555555555556,32.31666666666667,10.761111111111111,140.31666666666666,2.3944444444444444,68.46111111111111,2.6166666666666667,21.538888888888888,28.555555555555557,56.46111111111111,4.566666666666666,6.0,4.644444444444445,19.77777777777778
4,stress_cart,1,12.664035351261772,36.1156286657909,131.1611111111111,15.316666666666666,2.5874559238157038,31.807313995661136,50.272222222222226,77.08888888888889,9.669501232535408,41.43339516494363,50.272222222222226,77.08888888888889,2.035390974553301,32.82620879457283,4.605555555555555,21.683333333333334,5.029925093279664,44.1126627571921,50.272222222222226,77.08888888888889,2.035390974553301,45.95051638357727,131.1611111111111,15.316666666666666,18.79251392943733,27.3821071922798,46.28888888888889,24.316666666666666,2.0465438018111275,46.03624329154117,85.63333333333334,33.05,11.222222222222221,138.72222222222223,2.5055555555555555,67.72222222222223,1.9111111111111112,22.594444444444445,29.894444444444446,55.40555555555556,4.694444444444445,6.0,4.605555555555555,19.405555555555555
4,stress_cart,1,12.526666730955036,36.20372801604143,132.35555555555555,15.627777777777778,2.548836463066096,31.652422251568417,68.33333333333333,77.0,9.559531067166931,41.80864030339324,68.33333333333333,77.0,2.0189908088182205,35.83421360223602,4.544444444444444,21.683333333333334,4.974971827253736,46.58098696524123,68.33333333333333,77.0,2.0134134861419266,49.287627717364416,132.35555555555555,15.627777777777778,18.589216480085987,27.433847766558934,46.833333333333336,24.033333333333335,2.024568131494514,50.71279635258154,85.56111111111112,33.96111111111111,10.983333333333333,138.0,2.6166666666666667,67.0,1.65,23.65,29.761111111111113,55.0,4.5777777777777775,6.0,4.877777777777778,19.35
4,stress_cart,5,12.189940132164883,38.84977167108912,125.0,18.166666666666668,2.509365534983622,33.54881067815263,61.4,73.62777777777778,9.329263422283557,44.77159471201109,61.4,73.62777777777778,1.9740342208537829,43.0781179945735,4.477777777777778,22.68888888888889,4.8291345628795925,48.032624186031406,61.4,73.62777777777778,1.9684578529982637,48.58097954709762,125.0,18.166666666666668,18.11761916258175,29.67815451493127,44.022222222222226,24.0,1.9796105887093016,52.73048623951159,81.35,34.26111111111111,9.855555555555556,140.0,2.6333333333333333,62.0,1.6333333333333333,30.0,28.883333333333333,56.0,5.777777777777778,32.0,4.477777777777778,20.366666666666667
4,stress_cart,5,11.5702800270125,43.29375386002462,122.63888888888889,18.0,2.397696583911024,35.81119773074914,57.47222222222222,74.0,8.865901321903554,49.13459413586244,57.47222222222222,74.0,1.8679729200237047,44.86213378219886,4.444444444444445,23.0,4.577927663699885,52.94394045597071,57.47222222222222,74.0,1.8679729200237047,54.72635839767789,122.63888888888889,18.0,17.20207897991979,33.317940831361746,43.48888888888889,24.0,1.8847010357254093,56.03911706514914,80.46666666666667,34.26111111111111,9.583333333333334,140.0,2.688888888888889,62.0,1.6888888888888889,30.055555555555557,28.43888888888889,56.0,5.688888888888889,32.0,4.444444444444445,21.0
4,stress_cart,5,11.921566700558378,41.06362135970326,120.55555555555556,18.0,2.464608270180918,35.35554662466811,51.68333333333333,74.0,9.12797225856598,45.53146414291205,51.68333333333333,74.0,1.929308736385968,44.55955513616562,4.4944444444444445,22.68888888888889,4.722903178378366,50.8424249882836,51.68333333333333,74.0,1.929308736385968,47.56161012647087,120.55555555555556,18.0,17.715068946526642,32.0217573930953,43.03333333333333,24.0,1.9348847731963317,48.8548448683123,78.72222222222223,34.05,9.36111111111111,140.0,2.738888888888889,62.0,1.738888888888889,30.11111111111111,28.244444444444444,56.0,5.427777777777778,32.111111111111114,4.4944444444444445,20.88888888888889
4,stress_cart,10,12.036843573489865,41.01877919037161,120.58333333333333,18.194444444444443,2.482110931512043,33.215376128131275,41.38333333333333,73.0,9.20891044477839,47.17972421507471,41.38333333333333,73.0,1.946644303590344,40.32372856200112,4.355555555555555,23.0,4.774577432301818,49.23440570591907,41.38333333333333,73.0,1.946644303590344,50.99169455037851,120.58333333333333,18.194444444444443,17.88235426163508,29.87567708914776,43.01111111111111,24.0,1.9522220809645283,50.13330433160133,77.87222222222222,33.82222222222222,9.161111111111111,140.0,2.8222222222222224,62.0,1.5055555555555555,30.0,28.122222222222224,56.0,7.455555555555556,57.0,4.355555555555555,20.494444444444444
4,stress_cart,10,11.994847647391158,40.90286254622786,121.07222222222222,18.0,2.4759239216372264,33.65696378377096,57.96111111111111,73.0,9.17876300679026,46.9796416027339,57.96111111111111,73.0,1.946165424890523,37.52860485398134,4.438888888888889,23.122222222222224,4.745520849804684,52.03282805045461,57.96111111111111,73.0,1.9350126144326971,47.555758323425145,121.07222222222222,18.0,17.827767516833813,30.96261394703769,42.93888888888889,24.0,1.9517418301194356,47.7747456972637,78.57222222222222,34.68333333333333,9.627777777777778,140.0,2.8777777777777778,62.0,1.5611111111111111,30.0,28.127777777777776,56.0,7.6722222222222225,57.0,4.438888888888889,20.372222222222224
4,stress_cart,10,12.065026518324087,39.95396427456427,121.45555555555555,18.0,2.4754490638335933,33.39744604572597,47.077777777777776,73.0,9.22160529635307,46.25619462379586,47.077777777777776,73.0,1.951367505274229,35.581778557222734,4.4,23.0,4.783638055786539,49.73569450187492,47.077777777777776,73.0,1.945792169544874,51.56971313491968,121.45555555555555,18.0,17.91355369841742,30.960056970382634,43.62777777777778,23.694444444444443,1.956942841003584,50.24401989195494,79.45555555555555,34.87222222222222,9.655555555555555,140.0,2.6166666666666667,62.0,1.6166666666666667,30.0,28.261111111111113,56.0,7.266666666666667,57.0,4.4,20.68888888888889
