NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,34.31111111111111,22.8937858839198,52,0,1958.7111111111112,4.523382324579804,1966,1953
s0,324.4277777777778,216.8795372386236,500,1,149.38888888888889,0.9212846639876111,150,148
s1,175.01666666666668,117.2866135678843,274,1,167.0,0.0,167,167
s2,208.75,139.54198392518927,324,1,168.0,0.0,168,168
s3,60.98888888888889,40.15234722471803,93,1,64.0,0.0,64,64
s4,194.9777777777778,130.93255072557844,308,1,182.0,0.0,182,182
s5,72.61666666666666,48.34152516786739,118,1,155.0,0.0,155,155
s6,32.62777777777778,21.23781495235838,50,1,141.0,0.0,141,141
s7,45.97222222222222,30.558219580836468,74,1,144.0,0.0,144,144
s8,34.111111111111114,22.347977509507032,53,1,64.0,0.0,64,64
s9,39.416666666666664,26.237563191390745,64,1,151.0,0.0,151,151
