NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,35.27777777777778,20.16819706467353,51,0,5672.95,4.327271400984434,5680,5667
s0,344.4555555555556,199.23342876084442,500,1,165.13888888888889,0.7871459619613754,166,163
s1,186.9611111111111,107.66333141835602,272,1,193.91666666666666,0.2763853991962833,194,193
s2,221.57222222222222,129.71974194631008,324,1,188.0,0.0,188,188
s3,62.888888888888886,36.00600087159684,91,1,64.91666666666667,0.27638539919628335,65,64
s4,206.5,119.8252199385978,304,1,220.0,0.0,220,220
s5,77.75555555555556,45.18746411982251,116,1,171.0,0.0,171,171
s6,33.49444444444445,19.816238353157136,50,1,154.0,0.0,154,154
s7,49.3,28.45149869124257,72,1,152.0,0.0,152,152
s8,35.65555555555556,20.285551021525485,52,1,64.0,0.0,64,64
s9,41.56111111111111,23.662714197865732,61,1,162.0,0.0,162,162
