NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,35.35,22.56606966221632,51,0,5682.866666666667,3.8935844667863573,5690,5678
s0,346.6777777777778,220.68284571996466,500,1,164.42222222222222,0.9064923579720506,165,163
s1,186.38888888888889,118.54354047207433,273,1,193.61111111111111,0.48749802152178445,194,193
s2,222.53333333333333,141.33350628920235,328,1,188.0,0.0,188,188
s3,64.28333333333333,40.365452087425226,93,1,64.71111111111111,0.4532461789860253,65,64
s4,207.61666666666667,132.26733345766064,306,1,220.0,0.0,220,220
s5,77.89444444444445,49.21669739498107,114,1,171.0,0.0,171,171
s6,34.62777777777778,21.52699353410234,51,1,154.0,0.0,154,154
s7,48.53888888888889,30.372019998107337,70,1,152.0,0.0,152,152
s8,35.53888888888889,22.101373483938573,52,1,64.0,0.0,64,64
s9,41.12222222222222,25.695363947511268,60,1,162.0,0.0,162,162
