NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,61.27777777777778,39.43758156259297,98,0,4706.572222222222,7.441647484525897,4719,4697
s0,157.27777777777777,104.24112301963685,259,1,156.0,0.0,156,156
s1,189.96666666666667,126.88813533537676,315,1,180.73888888888888,0.4392403655920436,181,180
s2,223.54444444444445,149.07221673561153,370,1,176.0,0.0,176,176
s3,95.36111111111111,62.66673438727625,156,1,64.3,0.45825756949558405,65,64
s4,304.1388888888889,202.26662172843075,501,1,205.13333333333333,0.33993463423951903,206,205
s5,149.35,98.18126518503075,246,1,163.0,0.0,163,163
s6,84.2,55.407520548507975,138,1,151.0,0.0,151,151
s7,130.22222222222223,87.10342227972164,216,1,150.0,0.0,150,150
s8,78.21111111111111,50.90448450981384,127,1,64.0,0.0,64,64
s9,123.79444444444445,82.47724920123407,205,1,156.3,0.4582575694955841,157,156
