NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,61.77777777777778,39.48284515746548,100,0,3207.811111111111,7.737203693044039,3220,3198
s0,157.67222222222222,105.30315129586343,262,1,152.30555555555554,0.4606423319938055,153,152
s1,190.50555555555556,128.4167044006963,315,1,173.7888888888889,0.40809705938237684,174,173
s2,222.52777777777777,149.450825452371,372,1,173.18333333333334,0.38693955887479664,174,173
s3,96.11111111111111,63.89756462833383,160,1,64.0,0.0,64,64
s4,303.15555555555557,204.27100251659755,500,1,194.7888888888889,0.40809705938237684,195,194
s5,148.77777777777777,98.96422224193255,245,1,159.7888888888889,0.40809705938237684,160,159
s6,85.32777777777778,56.19547535716095,141,1,147.0,0.0,147,147
s7,132.23333333333332,89.29639161553817,221,1,149.0,0.0,149,149
s8,79.54444444444445,52.40730676603345,131,1,64.0,0.0,64,64
s9,125.28333333333333,83.9363035614242,208,1,155.0,0.0,155,155
