NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,62.44444444444444,43.72797505566815,100,0,3165.988888888889,7.623056319765778,3180,3157
s0,158.8388888888889,114.87747888215944,261,1,152.0,0.0,152,152
s1,190.55555555555554,138.84552656428502,316,1,173.30555555555554,0.46064233199380555,174,173
s2,224.35,162.36069156870042,369,1,173.0,0.0,173,173
s3,96.37222222222222,69.1573913905854,157,1,64.0,0.0,64,64
s4,302.8388888888889,220.7307601755005,500,1,194.61111111111111,0.48749802152178456,195,194
s5,149.28333333333333,107.9320915617264,245,1,159.61111111111111,0.48749802152178456,160,159
s6,85.3,61.6854836155873,140,1,147.0,0.0,147,147
s7,132.37222222222223,95.98061323665291,220,1,149.0,0.0,149,149
s8,79.75555555555556,57.2716356228245,130,1,64.0,0.0,64,64
s9,125.29444444444445,90.96884064961914,208,1,154.0,0.0,154,154
