NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,33.97222222222222,19.458625780973087,52,0,2723.45,4.52189119727576,2730,2717
s0,323.81111111111113,194.5633512620529,500,1,152.10555555555555,0.7031454900992492,153,151
s1,174.2888888888889,106.33800872108444,276,1,172.0,0.0,172,172
s2,207.16666666666666,127.09631081279355,326,1,171.0,0.0,171,171
s3,60.24444444444445,35.59113844487795,93,1,64.0,0.0,64,64
s4,196.87777777777777,120.14290821792908,313,1,188.3,0.4582575694955841,189,188
s5,74.17777777777778,44.28244642889996,115,1,157.0,0.0,157,157
s6,32.36666666666667,18.985052599932988,50,1,143.0,0.0,143,143
s7,45.294444444444444,26.797739793211875,72,1,144.49444444444444,0.4999691348498116,145,144
s8,34.855555555555554,20.076000659223332,54,1,64.0,0.0,64,64
s9,38.516666666666666,23.027875619682238,62,1,152.49444444444444,0.4999691348498116,153,152
