NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,67.02777777777777,39.15672647700599,100,0,5724.622222222222,1.4069492431639123,5726,5721
s0,174.45,102.57963166892993,258,1,160.0,0.0,160,160
s1,213.22222222222223,125.24844445942702,316,1,187.0,0.0,187,187
s2,248.42777777777778,144.46783688787522,365,1,182.0,0.0,182,182
s3,105.90555555555555,61.66087335149525,157,1,64.6,0.4898979485566356,65,64
s4,341.02777777777777,198.4939806127787,501,1,216.0,0.0,216,216
s5,166.36666666666667,96.08034253801463,244,1,167.0,0.0,167,167
s6,94.49444444444444,54.7463339434424,139,1,153.0,0.0,153,153
s7,147.66666666666666,86.75860508073856,221,1,151.0,0.0,151,151
s8,86.96666666666667,50.40799098908381,129,1,64.0,0.0,64,64
s9,139.55,82.49473215504935,209,1,160.0,0.0,160,160
