NUSER,LOAD,SR,REQ/s_addToCart,RES_TIME_addToCart,CPU_addToCart,MEM_addToCart,REQ/s_buy,RES_TIME_buy,CPU_buy,MEM_buy,REQ/s_category,RES_TIME_category,CPU_category,MEM_category,REQ/s_home,RES_TIME_home,CPU_home,MEM_home,REQ/s_login,RES_TIME_login,CPU_login,MEM_login,REQ/s_login_page,RES_TIME_login_page,CPU_login_page,MEM_login_page,REQ/s_logout,RES_TIME_logout,CPU_logout,MEM_logout,REQ/s_profile,RES_TIME_profile,CPU_profile,MEM_profile,REQ/s_view_product,RES_TIME_view_product,CPU_view_product,MEM_view_product,CPU_teastore-auth,MEM_teastore-auth,CPU_teastore-db,MEM_teastore-db,CPU_teastore-image,MEM_teastore-image,CPU_teastore-persistence,MEM_teastore-persistence,CPU_teastore-recommender,MEM_teastore-recommender,CPU_teastore-registry,MEM_teastore-registry
1,normal,1,0.7719604363381715,36.2255374565141,348.7055555555556,774.5611111111111,0.0,0.0,348.7055555555556,774.5611111111111,3.859802181690857,17.11852192173783,348.7055555555556,774.5611111111111,4.631762618029029,9.28771975362558,348.7055555555556,774.5611111111111,0.7719604363381715,15.804152420286384,348.7055555555556,774.5611111111111,0.7719604363381715,10.246911485504976,348.7055555555556,774.5611111111111,0.7719604363381715,11.921012528980423,348.7055555555556,774.5611111111111,0.7719604363381715,9.140994557964754,348.7055555555556,774.5611111111111,1.543920872676343,26.527244057978105,348.7055555555556,774.5611111111111,91.8,541.8666666666667,2.388888888888889,109.69444444444444,116.46666666666668,603.3388888888888,130.83333333333334,565.2944444444445,48.81666666666667,556.8777777777777,16.177777777777777,231.07222222222225
1,normal,1,0.8732555133851998,16.957687339107416,72.32777777777778,844.3666666666667,0.0,0.0,72.32777777777778,844.3666666666667,4.366277566925999,7.979358870533104,72.32777777777778,844.3666666666667,5.239533080311198,4.311146994826457,72.32777777777778,844.3666666666667,0.8732555133851998,8.7678370068599,72.32777777777778,844.3666666666667,0.8732555133851998,4.286283685453386,72.32777777777778,844.3666666666667,0.8732555133851998,7.718401480815373,72.32777777777778,844.3666666666667,0.8732555133851998,6.393056205221607,72.32777777777778,844.3666666666667,2.619766540155599,13.171972331020566,72.32777777777778,844.3666666666667,40.76111111111111,709.6833333333333,2.238888888888889,109.0,38.77777777777778,865.5888888888888,45.672222222222224,654.4888888888889,24.127777777777776,620.3388888888888,7.377777777777778,298.6111111111111
1,normal,1,0.7640950751603495,36.348351759429896,360.5388888888889,699.6722222222222,0.0,0.0,360.5388888888889,699.6722222222222,3.820475375801747,17.587862997001416,360.5388888888889,699.6722222222222,4.590147787277136,9.489338609903008,360.5388888888889,699.6722222222222,0.7640950751603495,15.98184237166998,360.5388888888889,699.6722222222222,0.7696724114753886,10.241996738287805,360.5388888888889,699.6722222222222,0.7640950751603495,12.520856409670149,360.5388888888889,699.6722222222222,0.7640950751603495,8.9715045843236,360.5388888888889,699.6722222222222,2.292285225481048,25.789554286916704,360.5388888888889,699.6722222222222,98.49444444444444,660.9944444444444,2.455555555555556,109.0,136.6,839.8,131.05,623.9166666666666,58.54444444444445,601.4722222222222,16.711111111111112,240.2111111111111
1,normal,1,0.8726522524965324,17.12632940385106,75.54444444444445,963.9111111111112,0.0,0.0,75.54444444444445,963.9111111111112,4.363261262482662,8.011114567950582,75.54444444444445,963.9111111111112,5.235913514979194,4.332412719016866,75.54444444444445,963.9111111111112,0.8726522524965324,8.99966858974812,75.54444444444445,963.9111111111112,0.8726522524965324,4.379503480769186,75.54444444444445,963.9111111111112,0.8726522524965324,7.682052506408191,75.54444444444445,963.9111111111112,0.8726522524965324,6.464060166673008,75.54444444444445,963.9111111111112,1.7453045049930649,13.172251333339949,75.54444444444445,963.9111111111112,39.333333333333336,582.0333333333333,2.172222222222222,110.0,41.78333333333333,648.1444444444444,49.71666666666667,590.5722222222222,24.61111111111111,582.95,7.588888888888889,248.0611111111111
1,normal,1,0.8795364123438129,16.1412018535024,60.41666666666666,982.9277777777778,0.0,0.0,60.41666666666666,982.9277777777778,4.397682061719064,7.603248268789024,60.41666666666666,982.9277777777778,5.277218474062877,4.06825047982495,60.41666666666666,982.9277777777778,0.8795364123438129,8.24676214012476,60.41666666666666,982.9277777777778,0.8795364123438129,4.043728573239727,60.41666666666666,982.9277777777778,0.8795364123438129,7.0941372547749895,60.41666666666666,982.9277777777778,0.8795364123438129,5.976603789798565,60.41666666666666,982.9277777777778,1.7590728246876255,12.449806124197732,60.41666666666666,982.9277777777778,23.605555555555554,597.1333333333333,2.272222222222222,110.0,29.655555555555555,691.15,32.46666666666667,598.8611111111111,21.11111111111111,604.2055555555555,8.116666666666667,257.18333333333334
1,normal,5,0.8890838790039219,13.98221285526462,44.49444444444445,1605.0,0.0,0.0,44.49444444444445,1605.0,4.445419395019609,7.053647757221032,44.49444444444445,1605.0,5.334503274023532,3.8161385429771575,44.49444444444445,1605.0,0.8890838790039219,7.078564352042528,44.49444444444445,1605.0,0.8890838790039219,3.8431574905200776,44.49444444444445,1605.0,0.8890838790039219,6.467650798671994,44.49444444444445,1605.0,0.8890838790039219,5.495545446704129,44.49444444444445,1605.0,1.778167758007844,11.356982352178116,44.49444444444445,1605.0,12.088888888888889,820.0,2.272222222222222,110.0,17.127777777777776,809.0,19.944444444444443,671.0,10.11111111111111,771.0,3.0,329.0
1,normal,5,0.8893553233481108,13.871065767060191,44.86666666666667,1079.0,0.0,0.0,44.86666666666667,1079.0,4.4467766167405545,7.089225148197129,44.86666666666667,1079.0,5.3361319400886655,3.819160446707297,44.86666666666667,1079.0,0.8893553233481108,7.0845040754647925,44.86666666666667,1079.0,0.8893553233481108,3.832852546877591,44.86666666666667,1079.0,0.8893553233481108,6.338995031693235,44.86666666666667,1079.0,0.8893553233481108,5.482889811523733,44.86666666666667,1079.0,2.6680659700443328,11.179812318569516,44.86666666666667,1079.0,12.75,868.0333333333333,2.3,109.0,19.85,942.3166666666668,20.933333333333334,687.0,11.533333333333331,794.75,3.0,404.0
1,normal,5,0.8895605659534028,13.828177465131043,44.15,1079.0,0.0,0.0,44.15,1079.0,4.447802829767015,7.051784763626649,44.15,1079.0,5.337363395720417,3.830074814347276,44.15,1079.0,0.8895605659534028,7.126327761563871,44.15,1079.0,0.8895605659534028,3.891510264208517,44.15,1079.0,0.8895605659534028,6.420855137846087,44.15,1079.0,0.8895605659534028,5.482613893208217,44.15,1079.0,2.6686816978602086,11.093352433467096,44.15,1079.0,13.45,866.6,2.55,109.06666666666666,18.78333333333333,944.9833333333332,21.03333333333333,687.0,10.2,788.9333333333333,3.316666666666667,404.0
1,normal,5,0.8891834530201892,13.994324798836686,44.2,1604.8444444444444,0.0,0.0,44.2,1604.8444444444444,4.445917265100946,7.052827267903899,44.2,1604.8444444444444,5.335100718121136,3.825043798797559,44.2,1604.8444444444444,0.8891834530201892,7.091617031425051,44.2,1604.8444444444444,0.8891834530201892,3.8333073019162818,44.2,1604.8444444444444,0.8891834530201892,6.413767798610636,44.2,1604.8444444444444,0.8891834530201892,5.525215861494448,44.2,1604.8444444444444,1.7783669060403784,11.283542999950418,44.2,1604.8444444444444,11.966666666666669,820.0,2.3722222222222222,110.0,17.133333333333333,809.0,19.93888888888889,671.0,9.9,771.0,3.0,329.0
1,normal,5,0.8894531763744346,13.891170629028908,44.38333333333333,1604.8944444444444,0.0,0.0,44.38333333333333,1604.8944444444444,4.447265881872172,7.049572852876004,44.38333333333333,1604.8944444444444,5.336719058246607,3.781876995793864,44.38333333333333,1604.8944444444444,0.8894531763744346,7.061173666580492,44.38333333333333,1604.8944444444444,0.8894531763744346,3.8352601697636217,44.38333333333333,1604.8944444444444,0.8894531763744346,6.432606779726599,44.38333333333333,1604.8944444444444,0.8894531763744346,5.492267628920077,44.38333333333333,1604.8944444444444,1.778906352748869,11.23092194667958,44.38333333333333,1604.8944444444444,11.88888888888889,820.0,2.4722222222222223,110.0,17.25,809.0,19.822222222222223,671.5777777777778,10.05,771.0,3.0,329.0
