NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,60.75555555555555,43.017906119586755,98,0,3729.0944444444444,7.6613729711109295,3744,3720
s0,156.7111111111111,111.75267776502862,260,1,153.60555555555555,0.48873103512193494,154,153
s1,189.4777777777778,135.37915708424066,316,1,175.60555555555555,0.48873103512193494,176,175
s2,220.96666666666667,157.70372714541517,367,1,175.0,0.0,175,175
s3,94.87777777777778,66.89682400329926,156,1,64.0,0.0,64,64
s4,301.3666666666667,216.03813706534933,501,1,198.0,0.0,198,198
s5,148.12222222222223,105.24562041854259,244,1,160.0,0.0,160,160
s6,84.07777777777778,59.67667100072184,139,1,147.0,0.0,147,147
s7,130.31666666666666,93.12330386225686,217,1,149.0,0.0,149,149
s8,78.47222222222223,55.48557676004694,129,1,64.0,0.0,64,64
s9,123.14444444444445,87.73838145445193,204,1,156.0,0.0,156,156
