NUSER,LOAD_0,LOAD_1,LOAD_2,SR,RES_TIME_viewProduct,RES_TIME_checkout,RES_TIME_cartEmpty,RES_TIME_addToCart,RES_TIME_viewCart,RES_TIME_home,RES_TIME_setCurrency,RES_TIME_logout,CPU_viewProduct,CPU_checkout,CPU_cartEmpty,CPU_addToCart,CPU_viewCart,CPU_home,CPU_setCurrency,CPU_logout,MEM_viewProduct,MEM_checkout,MEM_cartEmpty,MEM_addToCart,MEM_viewCart,MEM_home,MEM_setCurrency,MEM_logout
1,1,0,0,1,15.2480422241787,0.0,0.0,9.895562830018386,8.08454848967293,18.769947400077623,10.643542081711187,25.74782561637284,8.433333333333334,1.0,19.73333333333333,19.73333333333333,19.73333333333333,27.066666666666663,27.23333333333333,27.066666666666663,23.73333333333333,20.0,77.53333333333333,77.53333333333333,77.53333333333333,11.616666666666667,27.05,11.616666666666667
1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.355555555555556,1.0,13.95,13.95,13.95,27.05,20.011111111111116,27.05,24.61111111111111,20.0,80.0,80.0,80.0,14.0,33.90555555555556,14.0
1,1,0,0,1,13.74461151865521,0.0,0.0,8.562181206652895,7.108628139831126,14.556271972023143,8.570211213203342,31.27410951339698,8.438888888888888,1.0,14.194444444444445,14.194444444444445,14.194444444444445,27.072222222222223,20.511111111111116,27.072222222222223,24.316666666666663,20.0,80.0,80.0,80.0,14.0,33.19444444444444,14.0
1,1,0,0,1,14.232033396760048,0.0,0.0,8.613222465661636,6.660320835666649,21.771288309597143,8.289150520645869,28.524660404039185,8.28888888888889,1.0,12.294444444444444,12.294444444444444,12.294444444444444,25.80555555555556,18.977777777777774,25.80555555555556,24.0,20.0,80.0,80.0,80.0,13.316666666666666,33.31666666666667,13.316666666666666
1,1,0,0,1,13.138888447039385,0.0,0.0,8.839299496552762,6.17402264894031,14.292350856968724,8.346447834334704,31.31932314598643,8.522222222222222,1.0,13.661111111111111,13.661111111111111,13.661111111111111,26.75555555555556,20.06111111111111,26.75555555555556,24.511111111111116,20.0,80.0,80.0,80.0,13.488888888888887,33.87777777777778,13.488888888888887
1,1,0,0,5,13.30124623829582,0.0,0.0,8.505222887532796,7.444788079328345,14.733948230495544,8.191179913892302,27.342799416809136,8.4,1.0,13.983333333333333,13.983333333333333,13.983333333333333,27.15,20.25,27.15,24.683333333333334,23.0,78.0,78.0,78.0,18.55,34.63333333333333,18.55
1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.63888888888889,1.0,13.55,13.55,13.55,27.38888888888889,20.383333333333333,27.38888888888889,24.622222222222224,22.93888888888889,78.0,78.0,78.0,18.0,34.144444444444446,18.0
1,1,0,0,5,12.89544359246976,0.0,0.0,8.498293333492862,7.134706760019374,14.978693263954485,8.739312373557672,29.88703676009512,8.394444444444444,1.0,13.22222222222222,13.22222222222222,13.22222222222222,26.711111111111112,20.27777777777778,26.711111111111112,24.366666666666667,23.0,78.0,78.0,78.0,17.961111111111112,34.93888888888889,17.961111111111112
1,1,0,0,5,11.951359442648323,0.0,0.0,8.964801410429754,6.110298946750002,14.824755841095945,8.466545165329864,31.62463041728236,8.255555555555556,1.0,12.75,12.75,12.75,27.072222222222223,20.36111111111111,27.072222222222223,24.683333333333334,22.45555555555556,78.0,78.0,78.0,18.0,34.544444444444444,18.0
1,1,0,0,5,13.123145112134576,0.0,0.0,8.036320027167676,8.406555653443016,14.001670737401271,8.112879086581493,32.30154572015939,8.488888888888889,1.0,14.283333333333331,14.283333333333331,14.283333333333331,26.75555555555556,20.177777777777777,26.75555555555556,24.683333333333334,23.0,78.0,78.0,78.0,18.0,33.91111111111111,18.0
1,1,0,0,10,12.620316421882498,0.0,0.0,8.775592079545705,5.748174688846277,15.12207561581155,8.19081352977005,30.763821440341417,8.305555555555555,1.0,13.244444444444444,13.244444444444444,13.244444444444444,26.75555555555556,19.766666666666666,26.75555555555556,24.0,23.316666666666663,77.0,77.0,77.0,18.266666666666666,34.36666666666667,18.266666666666666
