NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,66.56111111111112,44.511941455060864,100,0,5737.655555555555,2.9670827839670366,5742,5735
s0,155.93333333333334,104.4406051303802,233,1,160.3,0.458257569495584,161,160
s1,213.21666666666667,143.083358571149,320,1,188.0,0.0,188,188
s2,245.67777777777778,166.16409745775596,375,1,183.30555555555554,0.46064233199380555,184,183
s3,102.22777777777777,68.3974358320183,153,1,64.60555555555555,0.48873103512193494,65,64
s4,336.84444444444443,226.0062885610394,500,1,216.60555555555555,0.48873103512193494,217,216
s5,175.07222222222222,117.32784222736049,260,1,167.0,0.0,167,167
s6,105.44444444444444,69.99739854072531,157,1,153.0,0.0,153,153
s7,136.46666666666667,91.34260293593078,203,1,151.0,0.0,151,151
s8,76.46666666666667,50.807086119949844,114,1,64.0,0.0,64,64
s9,132.39444444444445,88.43845928241238,198,1,161.0,0.0,161,161
