NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,67.35555555555555,43.762823164851056,101,0,5744.8,2.638181191654584,5746,5737
s0,157.37777777777777,101.43855039467411,235,1,160.0,0.0,160,160
s1,211.34444444444443,136.91373286458003,320,1,188.0,0.0,188,188
s2,258.31666666666666,166.96581403256042,382,1,182.60555555555555,0.488731035121935,183,182
s3,104.95,67.4236419959646,156,1,64.70555555555555,0.4557926212437482,65,64
s4,339.6722222222222,219.589537054821,501,1,216.4,0.4898979485566356,217,216
s5,176.3388888888889,113.82814355611751,264,1,167.0,0.0,167,167
s6,105.96666666666667,68.17550065007875,157,1,153.0,0.0,153,153
s7,139.0388888888889,89.52003896638568,206,1,151.0,0.0,151,151
s8,77.41666666666667,49.533252018775784,117,1,64.0,0.0,64,64
s9,134.1,86.3978587697635,199,1,161.0,0.0,161,161
