NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,66.59444444444445,40.32185748893551,99,0,5747.777777777777,1.752951655400924,5750,5745
s0,155.95555555555555,93.55336101939199,230,1,160.60555555555555,0.48873103512193494,161,160
s1,213.65555555555557,129.3228656512332,320,1,188.0,0.0,188,188
s2,249.20555555555555,152.421589941343,371,1,182.3,0.4582575694955841,183,182
s3,102.24444444444444,61.56727325294234,153,1,64.60555555555555,0.48873103512193494,65,64
s4,339.1111111111111,203.88392364526354,501,1,216.60555555555555,0.48873103512193494,217,216
s5,173.14444444444445,104.05341161699506,256,1,167.0,0.0,167,167
s6,105.94444444444444,63.84971262636297,157,1,153.0,0.0,153,153
s7,135.08333333333334,81.95431484810439,201,1,151.0,0.0,151,151
s8,77.41111111111111,46.2330796543015,114,1,64.0,0.0,64,64
s9,132.0,79.54621298339727,196,1,161.30555555555554,0.46064233199380555,162,161
