Timestamp,User Count,Type,Name,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1707106764,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1707106765,9,,Aggregated,0.000000,0.000000,6,45,49,50,52,56,60,61,65,65,65,229,0,45,31.31569567284909,1.1284830106887966,65.29221800155938,2935.3013100436683
1707106766,9,,Aggregated,0.000000,0.000000,6,46,48,49,52,53,59,61,65,65,65,334,0,46,32.98897439818536,1.1284830106887966,65.29221800155938,2489.3413173652693
1707106767,9,,Aggregated,188.000000,0.000000,4,45,48,48,51,52,56,60,65,65,65,475,0,45,31.071753779021826,1.1239550076425076,65.29221800155938,2615.802105263158
1707106768,9,,Aggregated,163.000000,0.000000,4,45,48,48,51,52,56,59,65,65,65,627,0,45,32.64187223762957,1.1239550076425076,65.29221800155938,2491.693779904306
1707106769,9,,Aggregated,138.666667,0.000000,4,45,48,48,51,52,56,59,65,65,65,722,0,45,31.289058534697425,0.9352289780508727,65.29221800155938,2570.249307479224
1707106770,9,,Aggregated,153.500000,0.000000,4,45,48,48,50,52,54,57,65,65,65,922,0,45,31.902024696446972,0.9352289780508727,65.29221800155938,2554.083514099783
1707106771,9,,Aggregated,132.400000,0.000000,4,45,48,48,50,52,53,57,65,65,65,979,0,45,32.03502628623234,0.9352289780508727,65.29221800155938,2504.4923391215525
1707106772,9,,Aggregated,145.333333,0.000000,4,45,48,48,50,52,54,56,65,65,65,1163,0,45,31.69838874680907,0.9352289780508727,65.29221800155938,2550.9105760963025
1707106773,9,,Aggregated,137.285714,0.000000,4,45,48,48,50,52,53,56,65,65,65,1283,0,45,32.0816303739048,0.9352289780508727,65.29221800155938,2498.394388152767
1707106774,9,,Aggregated,139.250000,0.000000,4,45,48,48,50,52,53,56,65,65,65,1425,0,45,31.47161901936654,0.9352289780508727,65.29221800155938,2547.006315789474
1707106775,9,,Aggregated,142.000000,0.000000,4,44,48,48,50,52,53,56,65,65,65,1606,0,44,31.850006958073386,0.9352289780508727,65.29221800155938,2501.184308841843
