NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,62.833333333333336,43.20975970001839,101,0,1734.0666666666666,7.380605214569693,1744,1725
s0,137.51111111111112,97.14991215692768,225,1,148.0,0.0,148,148
s1,186.51666666666668,133.23248165018418,309,1,166.0,0.0,166,166
s2,219.28333333333333,156.56962508737126,360,1,167.0,0.0,167,167
s3,92.67777777777778,65.3661189468431,152,1,64.0,0.0,64,64
s4,301.0444444444444,215.9942340336947,497,1,179.0,0.0,179,179
s5,156.0888888888889,110.22488572050672,257,1,153.55555555555554,0.49690399499995325,154,153
s6,94.6,67.06527500212843,155,1,141.0,0.0,141,141
s7,121.09444444444445,86.57499621216164,199,1,143.0,0.0,143,143
s8,71.81666666666666,50.84830107508237,118,1,63.55555555555556,0.49690399499995325,64,63
s9,119.47777777777777,84.56834550662792,195,1,149.3,0.4582575694955841,150,149
