NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,63.25555555555555,43.14164296853669,104,0,2077.511111111111,7.764941789070559,2092,2068
s0,143.1611111111111,97.46020064557912,237,1,149.0,0.0,149,149
s1,188.53333333333333,129.26542031374396,316,1,167.0,0.0,167,167
s2,227.5,156.71518752182254,382,1,170.0,0.0,170,170
s3,94.65555555555555,64.66497611383205,158,1,64.0,0.0,64,64
s4,301.65555555555557,206.21208937031102,499,1,182.7,0.4582575694955841,183,182
s5,156.44444444444446,107.5031380535379,260,1,155.0,0.0,155,155
s6,95.47222222222223,64.99969491856228,159,1,141.0,0.0,141,141
s7,123.05,83.60171947992457,205,1,144.0,0.0,144,144
s8,71.62222222222222,48.28309521924435,117,1,64.0,0.0,64,64
s9,121.28333333333333,82.59824285190467,200,1,151.0,0.0,151,151
