NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,34.016666666666666,20.849853450057843,51,0,4331.633333333333,4.415754622812379,4339,4326
s0,324.48333333333335,202.24667213303877,500,1,155.4777777777778,0.8784807311840872,156,154
s1,172.61666666666667,107.80374529671961,268,1,179.0,0.0,179,179
s2,205.48888888888888,128.98817727428823,322,1,175.73888888888888,0.4392403655920436,176,175
s3,60.6,37.19088896789404,93,1,64.0,0.0,64,64
s4,190.63333333333333,119.20425514403604,299,1,201.0,0.0,201,201
s5,72.45,44.79512312245114,113,1,161.0,0.0,161,161
s6,31.322222222222223,18.938395906363684,48,1,151.0,0.0,151,151
s7,46.05,28.146101960228094,71,1,149.30555555555554,0.46064233199380555,150,149
s8,33.361111111111114,20.25826686918725,51,1,64.0,0.0,64,64
s9,39.4,23.93477247298025,60,1,156.0,0.0,156,156
