NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,65.16111111111111,37.340648671519844,97,0,5708.344444444445,3.4372505521164283,5712,5702
s0,171.62222222222223,98.09282200240271,255,1,161.86666666666667,0.339934634239519,162,161
s1,211.4,121.06461084891819,313,1,190.0,0.0,190,190
s2,245.15555555555557,138.5042647647526,362,1,185.0,0.0,185,185
s3,103.93333333333334,58.63271744986374,153,1,64.86666666666666,0.3399346342395191,65,64
s4,340.47222222222223,191.74886441951315,501,1,217.86666666666667,0.339934634239519,218,217
s5,165.78333333333333,93.20892154485834,245,1,168.0,0.0,168,168
s6,92.45555555555555,51.980265723554716,137,1,153.0,0.0,153,153
s7,144.11111111111111,82.94703054686894,216,1,151.0,0.0,151,151
s8,85.02222222222223,47.72501738030712,126,1,64.0,0.0,64,64
s9,135.80555555555554,77.96723651083065,204,1,161.0,0.0,161,161
