Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,addToCart,2412,0,310.0,337.08180621028106,17.04174600308761,1202.7924389985856,16994.184494195688,13.455398836902022,0.0,310,390,390,400,400,420,500,900,1200,1200,1200
POST,cartEmpty,761,0,430.0,456.05875457027093,97.25032099231612,1300.0206900032936,10511.611038107752,4.245256432372487,0.0,430,500,500,500,580,600,690,1000,1300,1300,1300
POST,checkout,545,3,210.0,232.97883766196526,94.61710399773438,1006.7297950008651,6796.22385321101,3.0402953425006642,0.016735570692664205,210,280,290,290,300,310,390,810,1000,1000,1000
GET,home,3021,0,400.0,391.0521282920698,17.761702998541296,1290.7440569979372,10548.171466401855,16.852719687512856,0.0,400,400,410,410,490,500,600,800,1200,1300,1300
GET,logout,639,0,420.0,448.05978900034336,204.68590399832465,1199.022373999469,10497.0,3.564676557537476,0.0,420,490,500,500,510,590,600,800,1200,1200,1200
POST,setCurrency,657,0,480.0,451.6821425910952,21.77968500473071,1117.7866250072839,10511.867579908676,3.6650899816934612,0.0,480,500,500,500,520,600,610,1000,1100,1100,1100
GET,viewCart,1095,0,210.0,245.96695949946218,96.58871999999974,1084.2602719931165,16998.447488584476,6.108483302822435,0.0,210,290,290,300,300,310,400,740,1000,1100,1100
GET,viewProduct,4678,0,200.0,212.5782065728246,7.814430995495059,1106.5849740116391,7996.616716545533,26.096333233427718,0.0,200,200,210,210,300,300,420,760,1100,1100,1100
,Aggregated,13808,3,300.0,312.5205691451653,7.814430995495059,1300.0206900032936,11167.050260718424,77.02825337476912,0.016735570692664205,300,390,400,400,490,500,600,810,1100,1300,1300
