NUSER,LOAD_0,LOAD_1,LOAD_2,SR,REQ/s_home,RES_TIME_home,CPU_home,MEM_home,REQ/s_viewCart,RES_TIME_viewCart,CPU_viewCart,MEM_viewCart,REQ/s_addToCart,RES_TIME_addToCart,CPU_addToCart,MEM_addToCart,REQ/s_checkout,RES_TIME_checkout,CPU_checkout,MEM_checkout,REQ/s_cartEmpty,RES_TIME_cartEmpty,CPU_cartEmpty,MEM_cartEmpty,REQ/s_logout,RES_TIME_logout,CPU_logout,MEM_logout,REQ/s_viewProduct,RES_TIME_viewProduct,CPU_viewProduct,MEM_viewProduct,REQ/s_setCurrency,RES_TIME_setCurrency,CPU_setCurrency,MEM_setCurrency,CPU_adservice,MEM_adservice,CPU_emailservice,MEM_emailservice,CPU_paymentservice,MEM_paymentservice,CPU_recommendationservice,MEM_recommendationservice,CPU_redis-cart,MEM_redis-cart,CPU_shippingservice,MEM_shippingservice
1,1,0,0,1,0.0,0.0,27.05,14.0,0.0,0.0,13.95,80.0,0.0,0.0,13.95,80.0,0.0,0.0,1.0,20.0,0.0,0.0,13.95,80.0,0.0,0.0,27.05,14.0,0.0,0.0,8.355555555555556,24.61111111111111,0.0,0.0,20.01111111111112,33.90555555555556,6.027777777777778,141.0,2.0,71.70555555555555,1.0,17.633333333333333,5.983333333333333,56.0,2.0,5.0,1.0,19.38888888888889
1,1,0,0,1,4.193583497623551,14.556271972023143,27.072222222222223,14.0,0.8387166995247102,7.108628139831126,14.194444444444445,80.0,0.8387166995247102,8.562181206652895,14.194444444444445,80.0,0.0,0.0,1.0,20.0,0.0,0.0,14.194444444444445,80.0,0.8387166995247102,31.27410951339698,27.072222222222223,14.0,4.193583497623551,13.74461151865521,8.438888888888888,24.316666666666663,0.8387166995247102,8.570211213203342,20.51111111111112,33.19444444444444,9.116666666666667,140.5611111111111,2.0,72.0,1.0,17.43888888888889,6.0,55.87777777777778,2.0,5.0,1.0,19.43888888888889
1,1,0,0,1,4.072375022176936,21.771288309597143,25.80555555555556,13.316666666666666,0.8144750044353872,6.660320835666649,12.294444444444444,80.0,0.8144750044353872,8.613222465661636,12.294444444444444,80.0,0.0,0.0,1.0,20.0,0.0,0.0,12.294444444444444,80.0,0.8144750044353872,28.524660404039185,25.80555555555556,13.316666666666666,4.072375022176935,14.232033396760048,8.28888888888889,24.0,0.8144750044353872,8.289150520645869,18.97777777777777,33.31666666666667,11.938888888888888,139.14444444444445,2.0,71.0,1.0,16.316666666666666,6.033333333333333,55.0,2.0,5.0,1.0,19.0
1,1,0,0,1,4.211582046024214,14.292350856968724,26.75555555555556,13.488888888888887,0.8423164092048426,6.17402264894031,13.661111111111111,80.0,0.8423164092048426,8.839299496552762,13.661111111111111,80.0,0.0,0.0,1.0,20.0,0.0,0.0,13.661111111111111,80.0,0.8423164092048426,31.31932314598643,26.75555555555556,13.488888888888887,4.211582046024213,13.138888447039385,8.522222222222222,24.51111111111112,0.8423164092048426,8.346447834334704,20.06111111111111,33.87777777777778,6.527777777777778,140.0,2.0,71.68333333333334,1.0,17.0,6.016666666666667,55.0,2.0,5.0,1.0,19.488888888888887
1,1,0,0,5,4.213121984678536,14.733948230495544,27.15,18.55,0.8426243969357072,7.444788079328345,13.983333333333333,78.0,0.8426243969357072,8.505222887532796,13.983333333333333,78.0,0.0,0.0,1.0,23.0,0.0,0.0,13.983333333333333,78.0,0.8426243969357072,27.342799416809136,27.15,18.55,4.213121984678535,13.30124623829582,8.4,24.683333333333334,0.8426243969357072,8.191179913892302,20.25,34.63333333333333,3.1333333333333333,142.0,2.0,62.0,1.0,28.5,6.45,55.0,2.183333333333333,11.0,1.0,20.183333333333334
1,1,0,0,5,0.0,0.0,27.38888888888889,18.0,0.0,0.0,13.55,78.0,0.0,0.0,13.55,78.0,0.0,0.0,1.0,22.93888888888889,0.0,0.0,13.55,78.0,0.0,0.0,27.38888888888889,18.0,0.0,0.0,8.63888888888889,24.622222222222224,0.0,0.0,20.383333333333333,34.144444444444446,3.083333333333333,142.0,2.0,62.0,1.0,28.683333333333334,6.483333333333333,55.0,2.316666666666667,11.0,1.0,20.0
1,1,0,0,5,4.203916232043682,14.978693263954485,26.711111111111112,17.961111111111112,0.8407832464087363,7.134706760019374,13.22222222222222,78.0,0.8407832464087363,8.498293333492862,13.22222222222222,78.0,0.0,0.0,1.0,23.0,0.0,0.0,13.22222222222222,78.0,0.8407832464087363,29.88703676009512,26.711111111111112,17.961111111111112,4.203916232043681,12.89544359246976,8.394444444444444,24.366666666666667,0.8407832464087363,8.739312373557672,20.27777777777778,34.93888888888889,3.25,142.0,2.0,62.0,1.0,28.366666666666667,6.816666666666666,55.0,2.316666666666667,11.0,1.0,20.038888888888888
1,1,0,0,5,4.221010377383644,14.824755841095945,27.072222222222223,18.0,0.8442020754767288,6.110298946750002,12.75,78.0,0.8442020754767288,8.964801410429754,12.75,78.0,0.0,0.0,1.0,22.45555555555556,0.0,0.0,12.75,78.0,0.8442020754767288,31.62463041728236,27.072222222222223,18.0,4.221010377383644,11.951359442648323,8.255555555555556,24.683333333333334,0.8442020754767288,8.466545165329864,20.36111111111111,34.544444444444444,3.2666666666666666,142.0,2.0,62.0,1.0,28.544444444444444,6.533333333333333,55.0,2.227777777777778,11.0,1.0,20.0
1,1,0,0,5,4.205838763821378,14.001670737401271,26.75555555555556,18.0,0.836705324367648,8.406555653443016,14.283333333333331,78.0,0.836705324367648,8.036320027167676,14.283333333333331,78.0,0.0,0.0,1.0,23.0,0.0,0.0,14.283333333333331,78.0,0.836705324367648,32.30154572015939,26.75555555555556,18.0,4.205838763821378,13.123145112134576,8.488888888888889,24.683333333333334,0.8422833598634324,8.112879086581493,20.177777777777777,33.91111111111111,3.1,142.0,2.0,62.0,1.0,28.405555555555555,6.516666666666667,55.0,2.2777777777777777,11.0,1.0,20.0
1,1,0,0,10,4.210753769716877,15.12207561581155,26.75555555555556,18.266666666666666,0.8421507539433755,5.748174688846277,13.244444444444444,77.0,0.8421507539433755,8.775592079545705,13.244444444444444,77.0,0.0,0.0,1.0,23.316666666666663,0.0,0.0,13.244444444444444,77.0,0.8365735966324922,30.763821440341417,26.75555555555556,18.266666666666666,4.205176612405993,12.620316421882498,8.305555555555555,24.0,0.8421507539433755,8.19081352977005,19.766666666666666,34.36666666666667,3.05,142.0,2.0,62.0,1.0,29.0,6.1,55.0,2.0,17.0,1.0,20.683333333333334
1,1,0,0,10,0.0,0.0,27.01111111111112,18.322222222222223,0.0,0.0,13.522222222222222,77.0,0.0,0.0,13.522222222222222,77.0,0.0,0.0,1.0,23.0,0.0,0.0,13.522222222222222,77.0,0.0,0.0,27.01111111111112,18.322222222222223,0.0,0.0,8.588888888888889,24.0,0.0,0.0,20.2,33.99444444444445,3.011111111111111,142.0,2.0,62.0,1.0,29.0,6.022222222222222,55.0,2.2777777777777777,17.0,1.0,20.22222222222222
1,1,0,0,10,3.515032434792452,47.144982663222535,20.738888888888887,17.77777777777778,0.7030064869584903,5.796560809459253,10.65,77.0,0.7030064869584903,8.035328492244137,10.65,77.0,0.0,0.0,1.0,23.0,0.0,0.0,10.65,77.0,0.6974270703953277,60.24009937571827,20.738888888888887,17.77777777777778,3.509453018229289,12.51375095024489,6.788888888888889,24.0,0.7030064869584903,56.43260565840238,15.677777777777775,34.138888888888886,2.55,142.0,2.0,62.0,1.0,29.316666666666663,5.1,55.0,2.188888888888889,17.0,1.0,20.58888888888889
1,1,0,0,10,4.211547117022003,15.600863596070203,27.383333333333333,18.31111111111111,0.8423094234044006,6.729872086263086,13.0,77.0,0.8423094234044006,8.103024218939183,13.0,77.0,0.0,0.0,1.0,23.0,0.0,0.0,13.0,77.0,0.8423094234044006,30.490832317725367,27.383333333333333,18.31111111111111,4.211547117022003,11.968857233816642,8.53888888888889,24.00555555555556,0.8423094234044006,8.243627523207753,20.16111111111111,33.855555555555554,3.2,142.0,2.0,62.0,1.0,29.316666666666663,6.083333333333333,55.0,2.0,17.0,1.0,20.68888888888889
1,0,1,0,1,4.998335660753916,16.255985715401625,46.78888888888889,14.0,0.7140479515362738,11.848072484212937,23.355555555555554,79.33888888888889,3.570239757681369,18.801265642218823,23.355555555555554,79.33888888888889,0.7140479515362738,18.823363125051173,1.6611111111111112,20.66111111111111,2.1421438546088214,9.801686533904784,23.355555555555554,79.33888888888889,0.7140479515362738,11.07621565648742,46.78888888888889,14.0,7.140479515362737,11.793875224816016,15.838888888888889,24.677777777777777,0.7140479515362738,8.234416414154566,31.95,33.68888888888889,7.5777777777777775,141.9777777777778,2.0,71.0,1.6388888888888888,18.0,10.88888888888889,56.0,2.661111111111111,5.0,2.3,19.97777777777777
1,0,1,0,1,0.0,0.0,46.922222222222224,15.0,0.0,0.0,21.933333333333334,78.0,0.0,0.0,21.933333333333334,78.0,0.0,0.0,1.538888888888889,21.14444444444445,0.0,0.0,21.933333333333334,78.0,0.0,0.0,46.922222222222224,15.0,0.0,0.0,16.022222222222222,25.0,0.0,0.0,31.9,33.63333333333333,4.472222222222222,142.0,2.0,69.46111111111111,1.3166666666666669,21.22222222222222,10.905555555555557,56.0,2.5388888888888888,5.0,2.3944444444444444,19.461111111111112
1,0,1,0,1,5.003373794398407,16.39363234596658,46.73888888888889,14.488888888888887,0.7147676849140581,13.45825283598856,21.53333333333333,78.5111111111111,3.5738384245702903,16.947365346931065,21.53333333333333,78.5111111111111,0.7147676849140581,22.072237593818045,1.805555555555556,21.194444444444443,2.144303054742174,10.152587205813765,21.53333333333333,78.5111111111111,0.7147676849140581,8.71192517965369,46.73888888888889,14.488888888888887,7.1476768491405815,12.145682324328549,15.872222222222222,24.82777777777778,0.7147676849140581,8.017558015836812,31.866666666666667,33.53888888888889,6.661111111111111,142.0,2.0,70.0,1.488888888888889,20.17222222222222,10.88888888888889,56.0,2.805555555555556,5.0,1.9777777777777776,19.683333333333334
