NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,35.205555555555556,19.619915398566675,51,0,5723.488888888889,1.0191984262638778,5725,5722
s0,343.15555555555557,194.24334171978492,500,1,161.2,0.6000000000000001,162,160
s1,185.9111111111111,106.39451160076554,275,1,188.0,0.0,188,188
s2,220.55555555555554,124.42857041613259,321,1,183.0,0.0,183,183
s3,64.24444444444444,35.65211887457622,93,1,64.30555555555556,0.46064233199380555,65,64
s4,208.5611111111111,120.3013883677569,310,1,217.0,0.0,217,217
s5,78.24444444444444,44.760302628088034,115,1,167.0,0.0,167,167
s6,33.8,18.840382161729096,51,1,153.0,0.0,153,153
s7,48.422222222222224,26.774564122514064,72,1,151.0,0.0,151,151
s8,36.18888888888889,20.18877270192214,54,1,64.0,0.0,64,64
s9,41.266666666666666,23.15517700692919,60,1,161.0,0.0,161,161
