NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,68.72222222222223,43.49496210361681,102,0,5710.394444444444,2.6863796832296694,5713,5706
s0,155.6611111111111,98.32243803419266,233,1,163.0,0.0,163,163
s1,210.67777777777778,133.02086952202296,310,1,193.0,0.0,193,193
s2,251.3388888888889,157.55729694618287,375,1,187.0,0.0,187,187
s3,102.17222222222222,63.86825246426824,152,1,64.60555555555555,0.48873103512193494,65,64
s4,339.18333333333334,212.91496672511204,499,1,219.60555555555555,0.48873103512193494,220,219
s5,175.26666666666668,109.89619344332785,257,1,170.0,0.0,170,170
s6,105.23333333333333,66.74171609021352,155,1,154.0,0.0,154,154
s7,137.32222222222222,86.83551856211038,202,1,151.0,0.0,151,151
s8,78.75,49.41388412627006,116,1,64.0,0.0,64,64
s9,134.61666666666667,84.86821646922166,201,1,162.0,0.0,162,162
