NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,68.84444444444445,46.174045405788334,102,0,5672.622222222222,1.8653434463496275,5674,5669
s0,174.0222222222222,116.71522587313656,257,1,159.0,0.0,159,159
s1,207.46666666666667,139.12134591387795,306,1,186.60555555555555,0.48873103512193494,187,186
s2,239.7888888888889,160.75937812246283,353,1,182.0,0.0,182,182
s3,104.20555555555555,69.2149387553986,153,1,64.3,0.45825756949558405,65,64
s4,336.90555555555557,225.8019706936496,496,1,214.0,0.0,214,214
s5,166.13333333333333,111.28304253369224,245,1,165.0,0.0,165,165
s6,92.97777777777777,61.48206202314041,137,1,153.0,0.0,153,153
s7,143.12777777777777,96.06091993889173,212,1,150.0,0.0,150,150
s8,87.62777777777778,58.44066606924739,129,1,64.0,0.0,64,64
s9,137.0222222222222,91.86874426506279,204,1,157.0,0.0,157,157
